gene,PCC_slice1,PCC_slice2,mean_PCC
SSTR2,0.04702593259662018,0.040476951663388,0.04375144213000409
NPM3,0.04105999216937283,0.04624436884414615,0.043652180506759494
LAG3,0.03634350858264809,0.044942695289863416,0.040643101936255754
MYBPC1,0.052708226829884776,0.020301614597006034,0.0365049207134454
CLIC6,0.04035842619573175,0.0322506370788024,0.03630453163726707
PDCD1,0.0249415480495221,0.04700556755822492,0.03597355780387351
UCP1,0.053596307389134006,0.015911982627086044,0.03475414500811003
MUC6,0.030244930830095114,0.03696637865704982,0.033605654743572466
THAP2,0.03558334296744491,0.026074567385775717,0.030828955176610315
NCAM1,0.03043768927209358,0.029302827712573178,0.02987025849233338
TCF15,0.0327843945589974,0.02286445559603547,0.027824425077516434
MPO,0.035408866066711994,0.006496561373119492,0.020952713719915743
DNAAF1,0.020809302731720193,0.013040515337202031,0.016924909034461113
CTH,0.013737869717248816,0.018893555604116652,0.016315712660682734
APOBEC3A,0.018545765513857553,0.013233640500291863,0.015889703007074707
C2orf42,0.013450519887384289,0.01489667772181732,0.014173598804600805
AHSP,0.02282148875627181,0.0034225629691953356,0.013122025862733573
REXO4,0.00869113742936357,0.011392951624753988,0.010042044527058779
CRHBP,0.0009443614265227069,0.0024010995059205423,0.0016727304662216246
CSF3,0.003991208458175857,-0.0029050964957380004,0.0005430559812189283
